National Institutes of Health;NIH;https://www.nih.gov/
NIH Office of the Director;OD;https://www.nih.gov/institutes-nih/nih-office-director
National Cancer Institute;NCI;https://www.cancer.gov/
National Eye Institute;NEI;https://nei.nih.gov/
National Heart, Lung, and Blood Institute;NHLBI;https://www.nhlbi.nih.gov/
National Human Genome Research Institute;NHGRI;https://www.genome.gov/
National Institute on Aging;NIA;https://www.nia.nih.gov/
National Institute on Alcohol Abuse and Alcoholism;NIAAA;https://www.niaaa.nih.gov/
National Institute of Allergy and Infectious Diseases;NIAID;https://www.niaid.nih.gov/
National Institute of Arthritis and Musculoskeletal and Skin Diseases;NIAMS;https://www.niams.nih.gov/
National Institute of Biomedical Imaging and Bioengineering;NIBIB;https://www.nibib.nih.gov/
Eunice Kennedy Shriver National Institute of Child Health and Human Development;NICHD;https://www.nichd.nih.gov/
National Institute on Deafness and Other Communication Disorders;NIDCD;https://www.nidcd.nih.gov/
National Institute of Dental and Craniofacial Research;NIDCR;https://www.nidcr.nih.gov/
National Institute of Diabetes and Digestive and Kidney Diseases;NIDDK;https://www.niddk.nih.gov/
National Institute on Drug Abuse;NIDA;https://www.drugabuse.gov/
National Institute of Environmental Health Sciences;NIEHS;https://www.niehs.nih.gov/
National Institute of General Medical Sciences;NIGMS;https://www.nigms.nih.gov/
National Institute of Mental Health;NIMH;https://www.nimh.nih.gov/
National Institute on Minority Health and Health Disparities;NIMHD;https://www.nimhd.nih.gov/
National Institute of Neurological Disorders and Stroke;NINDS;https://www.ninds.nih.gov/
National Institute of Nursing Research;NINR;https://www.ninr.nih.gov/
National Library of Medicine;NLM;https://www.nlm.nih.gov/
NIH Clinical Center;CC;https://clinicalcenter.nih.gov/
Center for Information Technology;CIT;https://www.cit.nih.gov/
Center for Scientific Review;CSR;https://public.csr.nih.gov/
Fogarty International Center;FIC;https://www.fic.nih.gov/
National Center for Advancing Translational Sciences;NCATS;https://ncats.nih.gov/
National Center for Complementary and Integrative Health;NCCIH;https://nccih.nih.gov/
